built S_1 mod x^112501 in 0s
n=1 wrong_sign=0 [] zeros=2 max_zero_m=4 mu_of_it=4.00e-01 (0.0s, total 0s)
n=2 wrong_sign=0 [] zeros=7 max_zero_m=19 mu_of_it=4.75e-01 (0.0s, total 0s)
n=3 wrong_sign=0 [] zeros=9 max_zero_m=24 mu_of_it=2.67e-01 (0.0s, total 0s)
n=4 wrong_sign=0 [] zeros=11 max_zero_m=29 mu_of_it=1.81e-01 (0.0s, total 0s)
n=5 wrong_sign=0 [] zeros=13 max_zero_m=34 mu_of_it=1.36e-01 (0.0s, total 0s)
n=6 wrong_sign=0 [] zeros=15 max_zero_m=39 mu_of_it=1.08e-01 (0.0s, total 0s)
n=7 wrong_sign=0 [] zeros=17 max_zero_m=44 mu_of_it=8.98e-02 (0.0s, total 0s)
n=8 wrong_sign=0 [] zeros=19 max_zero_m=49 mu_of_it=7.66e-02 (0.0s, total 0s)
n=9 wrong_sign=0 [] zeros=21 max_zero_m=54 mu_of_it=6.67e-02 (0.0s, total 0s)
n=10 wrong_sign=0 [] zeros=23 max_zero_m=59 mu_of_it=5.90e-02 (0.0s, total 0s)
n=11 wrong_sign=0 [] zeros=25 max_zero_m=64 mu_of_it=5.29e-02 (0.0s, total 0s)
n=12 wrong_sign=0 [] zeros=27 max_zero_m=69 mu_of_it=4.79e-02 (0.0s, total 0s)
n=13 wrong_sign=0 [] zeros=29 max_zero_m=74 mu_of_it=4.38e-02 (0.0s, total 0s)
n=14 wrong_sign=0 [] zeros=31 max_zero_m=79 mu_of_it=4.03e-02 (0.0s, total 0s)
n=15 wrong_sign=0 [] zeros=33 max_zero_m=84 mu_of_it=3.73e-02 (0.0s, total 0s)
n=16 wrong_sign=0 [] zeros=35 max_zero_m=89 mu_of_it=3.48e-02 (0.0s, total 0s)
n=17 wrong_sign=0 [] zeros=37 max_zero_m=94 mu_of_it=3.25e-02 (0.0s, total 0s)
n=18 wrong_sign=0 [] zeros=39 max_zero_m=99 mu_of_it=3.06e-02 (0.0s, total 0s)
n=19 wrong_sign=0 [] zeros=41 max_zero_m=104 mu_of_it=2.88e-02 (0.0s, total 0s)
n=20 wrong_sign=0 [] zeros=43 max_zero_m=109 mu_of_it=2.72e-02 (0.0s, total 0s)
n=21 wrong_sign=0 [] zeros=45 max_zero_m=114 mu_of_it=2.59e-02 (0.0s, total 0s)
n=22 wrong_sign=0 [] zeros=47 max_zero_m=119 mu_of_it=2.46e-02 (0.0s, total 0s)
n=23 wrong_sign=0 [] zeros=49 max_zero_m=124 mu_of_it=2.34e-02 (0.0s, total 0s)
n=24 wrong_sign=0 [] zeros=51 max_zero_m=129 mu_of_it=2.24e-02 (0.0s, total 0s)
n=25 wrong_sign=0 [] zeros=53 max_zero_m=134 mu_of_it=2.14e-02 (0.0s, total 0s)
n=26 wrong_sign=0 [] zeros=55 max_zero_m=139 mu_of_it=2.06e-02 (0.0s, total 0s)
n=27 wrong_sign=0 [] zeros=57 max_zero_m=144 mu_of_it=1.98e-02 (0.0s, total 0s)
n=28 wrong_sign=0 [] zeros=59 max_zero_m=149 mu_of_it=1.90e-02 (0.0s, total 0s)
n=29 wrong_sign=0 [] zeros=61 max_zero_m=154 mu_of_it=1.83e-02 (0.0s, total 0s)
n=30 wrong_sign=0 [] zeros=63 max_zero_m=159 mu_of_it=1.77e-02 (0.0s, total 0s)
n=31 wrong_sign=0 [] zeros=65 max_zero_m=164 mu_of_it=1.71e-02 (0.0s, total 0s)
n=32 wrong_sign=0 [] zeros=67 max_zero_m=169 mu_of_it=1.65e-02 (0.0s, total 0s)
n=33 wrong_sign=0 [] zeros=69 max_zero_m=174 mu_of_it=1.60e-02 (0.0s, total 0s)
n=34 wrong_sign=0 [] zeros=71 max_zero_m=179 mu_of_it=1.55e-02 (0.0s, total 0s)
n=35 wrong_sign=0 [] zeros=73 max_zero_m=184 mu_of_it=1.50e-02 (0.0s, total 0s)
n=36 wrong_sign=0 [] zeros=75 max_zero_m=189 mu_of_it=1.46e-02 (0.0s, total 0s)
n=37 wrong_sign=0 [] zeros=77 max_zero_m=194 mu_of_it=1.42e-02 (0.0s, total 0s)
n=38 wrong_sign=0 [] zeros=79 max_zero_m=199 mu_of_it=1.38e-02 (0.0s, total 0s)
